Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
422062 State Medicaid - MH,,,,,,,,"1,525",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422501 MH - C & Y Initiatives ISP,,,,,,,,"338,664","338,661",,,"338,661",,"338,661",,"343,741",,"348,897","354,130",,"359,442"
,,,,,,,,,,,,,,,,,,,,,
433034 Child Day Treatment - Federal,,,,,,,,"198,020","198,020",,,"198,020",,"194,064",,"194,064",,"194,064","194,064",,"194,064"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24106,,,,,,,"2,082,544",,"2,119,439",,"2,119,439",,"1,935,236","1,979,550",,"2,025,075","2,071,845",,"2,119,896"
,,,,,,,,,,,,,,,,,,,,,
24108 Residential Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,714,292,,,292,,"1,023",,"1,054",,"1,085","1,118",,"1,151"
,,,,,,,,,,,,,,,,,,,,,
415506 Contracts - Other,,,,,,,,"127,138","138,440",,,"138,440",,"215,607",,"222,075",,"228,737","235,600",,"242,668"
,,,,,,,,,,,,,,,,,,,,,
415562 Medicaid MH,,,,,,,,"451,039","429,528",,,"429,528",,"507,331",,"522,551",,"538,227","554,374",,"571,006"
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"1,431",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"519,590","1,210,762",,,"1,210,762",,"826,604",,"839,003",,"851,588","864,362",,"877,327"
,,,,,,,,,,,,,,,,,,,,,
422062 State Medicaid - MH,,,,,,,,"3,822",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422365 MH - ESD,,,,,,,,"392,280",0,,,0,,"392,280",,"398,164",,"404,137","410,199",,"416,352"
,,,,,,,,,,,,,,,,,,,,,
422571 MH NGRI,,,,,,,,"12,000",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422576 SA Region V Residential,,,,,,,,"131,215",0,,,0,,"131,215",,"133,183",,"135,181","137,209",,"139,267"
,,,,,,,,,,,,,,,,,,,,,
422578 HPR V-Reinvestment,,,,,,,,"33,795",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433070 Substance Abuse - Federal - ADA MHA Block Grant 97,,,,,,,,"165,417","165,417",,,"165,417",,"165,417",,"165,417",,"165,417","165,417",,"165,417"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433269 SA - Drug Federal Block Grant,,,,,,,,"194,113","194,113",,,"194,113",,"194,113",,"194,113",,"194,113","194,113",,"194,113"
,,,,,,,,,,,,,,,,,,,,,
433271 SA Residential Pos Federal Block Grant,,,,,,,,"65,232","65,232",,,"65,232",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24108,,,,,,,"2,097,786",,"2,203,784",,"2,203,784",,"2,433,590","2,475,560",,"2,518,486","2,562,391",,"2,607,300"
,,,,,,,,,,,,,,,,,,,,,
24112 MH Case Management Unit,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"24,332","32,133",,,"32,133",,"23,626",,"24,335",,"25,065","25,817",,"26,591"
,,,,,,,,,,,,,,,,,,,,,
415048 Other Insurance,,,,,,,,"2,105","2,264",,,"2,264",,"1,149",,"1,183",,"1,219","1,256",,"1,293"
,,,,,,,,,,,,,,,,,,,,,
415060 Sentara Medicaid,,,,,,,,246,448,,,448,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415506 Contracts - Other,,,,,,,,"5,610","7,920",,,"7,920",,"1,131",,"1,165",,"1,200","1,236",,"1,273"
,,,,,,,,,,,,,,,,,,,,,
415562 Medicaid MH,,,,,,,,"1,019,708","1,546,184",,,"1,546,184",,"1,001,899",,"1,031,956",,"1,062,915","1,094,802",,"1,127,646"
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"544,118","606,532",,,"606,532",,"735,524",,"746,557",,"757,755","769,122",,"780,658"
,,,,,,,,,,,,,,,,,,,,,
422062 State Medicaid - MH,,,,,,,,"5,822",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433070 Substance Abuse - Federal - ADA MHA Block Grant 97,,,,,,,,"100,742","100,742",,,"100,742",,"100,742",,"100,742",,"100,742","100,742",,"100,742"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24112,,,,,,,"1,702,683",,"2,296,223",,"2,296,223",,"1,864,071","1,905,938",,"1,948,896","1,992,974",,"2,038,204"
,,,,,,,,,,,,,,,,,,,,,
24121 MH PATH,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,0,0,,,0,,122,,126,,129,133,,137
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"75,576","56,502",,,"56,502",,"56,502",,"57,350",,"58,210","59,083",,"59,969"
,,,,,,,,,,,,,,,,,,,,,
433267 MH PATH Grant,,,,,,,,"158,280","117,746",,,"117,746",,"117,746",,"117,746",,"117,746","117,746",,"117,746"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24121,,,,,,,"233,856",,"174,248",,"174,248",,"174,370","175,221",,"176,085","176,962",,"177,852"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,17,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0240 Human Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
24123 Harbour,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,157,500,,,500,,55,,57,,58,60,,62
,,,,,,,,,,,,,,,,,,,,,
415048 Other Insurance,,,,,,,,1,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415506 Contracts - Other,,,,,,,,"1,612","4,618",,,"4,618",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415562 Medicaid MH,,,,,,,,"453,473","450,072",,,"450,072",,"458,367",,"472,118",,"486,282","500,870",,"515,896"
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"269,122",0,,,0,,"52,189",,"52,972",,"53,766","54,573",,"55,392"
,,,,,,,,,,,,,,,,,,,,,
422062 State Medicaid - MH,,,,,,,,"4,894",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433505 CO - Occuring FBG,,,,,,,,"35,856","35,856",,,"35,856",,"35,856",,"35,856",,"35,856","35,856",,"35,856"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24123,,,,,,,"765,115",,"491,046",,"491,046",,"546,467","561,002",,"575,962","591,359",,"607,206"
,,,,,,,,,,,,,,,,,,,,,
24201 DS Program Clinical Support,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"1,204","2,500",,,"2,500",,"1,200",,"1,236",,"1,273","1,311",,"1,351"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24201,,,,,,,"1,204",,"2,500",,"2,500",,"1,200","1,236",,"1,273","1,311",,"1,351"
,,,,,,,,,,,,,,,,,,,,,
24202 DS Case Management,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"17,674","16,919",,,"16,919",,"16,919",,"17,427",,"17,949","18,488",,"19,042"
,,,,,,,,,,,,,,,,,,,,,
415562 Medicaid MH,,,,,,,,"220,061",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415563 Medicaid MR SPO,,,,,,,,"2,182,979","2,132,865",,,"2,132,865",,"2,144,077",,"2,208,399",,"2,274,651","2,342,891",,"2,413,178"
,,,,,,,,,,,,,,,,,,,,,
415564 Medicaid MR Waiver,,,,,,,,"213,858",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"103,547","105,275",,,"105,275",,"105,275",,"106,854",,"108,457","110,084",,"111,735"
,,,,,,,,,,,,,,,,,,,,,
422062 State Medicaid - MH,,,,,,,,"-1,633",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422063 State Medicaid - MR,,,,,,,,"3,265",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422541 MR OBRA,,,,,,,,"20,445","13,087",,,"13,087",,"21,823",,"22,150",,"22,483","22,820",,"23,162"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24202,,,,,,,"2,760,196",,"2,268,146",,"2,268,146",,"2,288,094","2,354,830",,"2,423,540","2,494,282",,"2,567,117"
,,,,,,,,,,,,,,,,,,,,,
24203 DS Employment Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"9,445","9,389",,,"9,389",,"9,389",,"9,671",,"9,961","10,260",,"10,567"
,,,,,,,,,,,,,,,,,,,,,
415054 State Rehabilitation Services,,,,,,,,"378,123","430,302",,,"430,302",,"393,000",,"404,790",,"416,934","429,442",,"442,325"
,,,,,,,,,,,,,,,,,,,,,
415563 Medicaid MR SPO,,,,,,,,0,"41,535",,,"41,535",,"41,535",,"42,781",,"44,064","45,386",,"46,748"
,,,,,,,,,,,,,,,,,,,,,
415564 Medicaid MR Waiver,,,,,,,,"312,727","336,000",,,"336,000",,"336,000",,"346,080",,"356,462","367,156",,"378,171"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24203,,,,,,,"700,295",,"817,226",,"817,226",,"779,924","803,322",,"827,421","852,244",,"877,811"
,,,,,,,,,,,,,,,,,,,,,
24204 DS Skillquest,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"5,718","8,238",,,"8,238",,"6,629",,"6,828",,"7,033","7,244",,"7,461"
,,,,,,,,,,,,,,,,,,,,,
415506 Contracts - Other,,,,,,,,"476,800","482,522",,,"482,522",,"482,522",,"496,998",,"511,908","527,265",,"543,083"
,,,,,,,,,,,,,,,,,,,,,
415564 Medicaid MR Waiver,,,,,,,,"1,870,308","1,830,611",,,"1,830,611",,"1,882,832",,"1,939,317",,"1,997,496","2,057,421",,"2,119,144"
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"80,276","90,350",,,"90,350",,"90,350",,"91,705",,"93,081","94,477",,"95,894"
,,,,,,,,,,,,,,,,,,,,,
422092 Medicaid Waiver,,,,,,,,979,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422541 MR OBRA,,,,,,,,"8,987","12,177",,,"12,177",,"12,177",,"12,360",,"12,545","12,733",,"12,924"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24204,,,,,,,"2,443,068",,"2,423,898",,"2,423,898",,"2,474,510","2,547,207",,"2,622,063","2,699,140",,"2,778,506"
,,,,,,,,,,,,,,,,,,,,,
24205 DS Respite Care Program,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"91,619","93,106",,,"93,106",,"91,619",,"94,368",,"97,199","100,115",,"103,118"
,,,,,,,,,,,,,,,,,,,,,
415506 Contracts - Other,,,,,,,,"5,385",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24205,,,,,,,"97,004",,"93,106",,"93,106",,"91,619","94,368",,"97,199","100,115",,"103,118"
,,,,,,,,,,,,,,,,,,,,,
24206 DS Infant Program,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415048 Other Insurance,,,,,,,,479,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"33,192",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24206,,,,,,,"33,671",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,18,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0240 Human Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
24207 DS Supportive Living,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"12,375","7,655",,,"7,655",,"9,655",,"9,945",,"10,243","10,550",,"10,867"
,,,,,,,,,,,,,,,,,,,,,
415563 Medicaid MR SPO,,,,,,,,0,"404,199",,,"404,199",,"404,199",,"416,325",,"428,815","441,679",,"454,930"
,,,,,,,,,,,,,,,,,,,,,
415564 Medicaid MR Waiver,,,,,,,,"929,642","1,010,000",,,"1,010,000",,"1,010,000",,"1,040,300",,"1,071,509","1,103,654",,"1,136,764"
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"2,798",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"131,056","168,749",,,"168,749",,"168,749",,"171,280",,"173,849","176,457",,"179,104"
,,,,,,,,,,,,,,,,,,,,,
422092 Medicaid Waiver,,,,,,,,270,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24207,,,,,,,"1,076,141",,"1,590,603",,"1,590,603",,"1,592,603","1,637,850",,"1,684,416","1,732,341",,"1,781,664"
,,,,,,,,,,,,,,,,,,,,,
24209 DS Family Support,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,585,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415564 Medicaid MR Waiver,,,,,,,,"35,380","66,500",,,"66,500",,"36,500",,"37,595",,"38,723","39,885",,"41,081"
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"92,388","10,079",,,"10,079",,"10,079",,"10,230",,"10,384","10,539",,"10,697"
,,,,,,,,,,,,,,,,,,,,,
422092 Medicaid Waiver,,,,,,,,175,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24209,,,,,,,"128,528",,"76,579",,"76,579",,"46,579","47,825",,"49,106","50,424",,"51,779"
,,,,,,,,,,,,,,,,,,,,,
24210 DS Supportive Living - Homes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"154,107","166,522",,,"166,522",,"166,522",,"171,518",,"176,663","181,963",,"187,422"
,,,,,,,,,,,,,,,,,,,,,
415563 Medicaid MR SPO,,,,,,,,0,"36,101",,,"36,101",,"36,101",,"37,184",,"38,300","39,449",,"40,632"
,,,,,,,,,,,,,,,,,,,,,
415564 Medicaid MR Waiver,,,,,,,,"1,341,719","1,528,800",,,"1,528,800",,"1,528,800",,"1,574,664",,"1,621,904","1,670,561",,"1,720,678"
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,-66,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"310,152","368,117",,,"368,117",,"368,117",,"373,639",,"379,243","384,932",,"390,706"
,,,,,,,,,,,,,,,,,,,,,
422092 Medicaid Waiver,,,,,,,,"7,142",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24210,,,,,,,"1,813,054",,"2,099,540",,"2,099,540",,"2,099,540","2,157,004",,"2,216,110","2,276,905",,"2,339,438"
,,,,,,,,,,,,,,,,,,,,,
24211 DS Kentucky Avenue Project,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"31,729","28,378",,,"28,378",,"31,729",,"32,681",,"33,661","34,671",,"35,711"
,,,,,,,,,,,,,,,,,,,,,
415565 Medicaid ICF,,,,,,,,"1,472,176","1,636,828",,,"1,636,828",,"1,856,074",,"1,911,756",,"1,969,109","2,028,182",,"2,089,028"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24211,,,,,,,"1,503,905",,"1,665,206",,"1,665,206",,"1,887,803","1,944,437",,"2,002,770","2,062,853",,"2,124,739"
,,,,,,,,,,,,,,,,,,,,,
24212 DS Early Intervention,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"1,389","2,625",,,"2,625",,"2,625",,"2,704",,"2,785","2,868",,"2,954"
,,,,,,,,,,,,,,,,,,,,,
415563 Medicaid MR SPO,,,,,,,,"92,495","108,835",,,"108,835",,"145,272",,"149,630",,"154,119","158,743",,"163,505"
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"367,889","217,860",,,"217,860",,"496,239",,"503,683",,"511,238","518,906",,"526,690"
,,,,,,,,,,,,,,,,,,,,,
422092 Medicaid Waiver,,,,,,,,168,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433041 MR - Part H,,,,,,,,"509,250","423,582",,,"423,582",,"480,933",,"480,933",,"480,933","480,933",,"480,933"
,,,,,,,,,,,,,,,,,,,,,
435050 ARRA Stimulus,,,,,,,,"197,544",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24212,,,,,,,"1,168,735",,"752,902",,"752,902",,"1,125,069","1,136,949",,"1,149,075","1,161,450",,"1,174,082"
,,,,,,,,,,,,,,,,,,,,,
24213 DS Colby Way ICF/MR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"39,906","39,262",,,"39,262",,"39,906",,"41,103",,"42,336","43,606",,"44,915"
,,,,,,,,,,,,,,,,,,,,,
415565 Medicaid ICF,,,,,,,,"832,486","686,311",,,"686,311",,"798,768",,"822,731",,"847,413","872,835",,"899,020"
,,,,,,,,,,,,,,,,,,,,,
422601 ICF/MR Medicaid,,,,,,,,"69,539",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24213,,,,,,,"941,931",,"725,573",,"725,573",,"838,674","863,834",,"889,749","916,442",,"943,935"
,,,,,,,,,,,,,,,,,,,,,
24214 DS BizNet Village,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"124,052","100,000",,,"100,000",,"124,053",,"127,775",,"131,608","135,556",,"139,623"
,,,,,,,,,,,,,,,,,,,,,
415565 Medicaid ICF,,,,,,,,"4,722,790","4,220,505",,,"4,220,505",,"4,744,772",,"4,887,115",,"5,033,729","5,184,740",,"5,340,283"
,,,,,,,,,,,,,,,,,,,,,
422601 ICF/MR Medicaid,,,,,,,,"-332,117",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24214,,,,,,,"4,514,725",,"4,320,505",,"4,320,505",,"4,868,825","5,014,890",,"5,165,336","5,320,297",,"5,479,905"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,19,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0240 Human Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
24215 Indian River Road ICF/MR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,0,0,,,0,,"3,723",,"3,835",,"3,950","4,068",,"4,190"
,,,,,,,,,,,,,,,,,,,,,
415506 Contracts - Other,,,,,,,,441,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415565 Medicaid ICF,,,,,,,,0,0,,,0,,"745,646",,"768,015",,"791,056","814,788",,"839,231"
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"1,027,299",,,"1,027,299",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24215,,,,,,,441,,"1,027,299",,"1,027,299",,"749,369","771,850",,"795,006","818,856",,"843,421"
,,,,,,,,,,,,,,,,,,,,,
24303 Detoxification Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415048 Other Insurance,,,,,,,,8,35,,,35,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415049 Alcohol Detoxification Fees,,,,,,,,"1,200","5,760",,,"5,760",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415509 Medical Monitoring - Local Board,,,,,,,,"72,400","24,000",,,"24,000",,"94,629",,"97,468",,"100,392","103,404",,"106,506"
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"1,956,894","2,086,698",,,"2,086,698",,"1,934,774",,"1,963,796",,"1,993,253","2,023,151",,"2,053,499"
,,,,,,,,,,,,,,,,,,,,,
422521 SA - State Facilities Diversion SP,,,,,,,,"90,822",0,,,0,,"90,822",,"92,184",,"93,567","94,971",,"96,395"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433070 Substance Abuse - Federal - ADA MHA Block Grant 97,,,,,,,,"108,104","108,104",,,"108,104",,"108,104",,"108,104",,"108,104","108,104",,"108,104"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433269 SA - Drug Federal Block Grant,,,,,,,,"117,991","117,991",,,"117,991",,"117,991",,"117,991",,"117,991","117,991",,"117,991"
,,,,,,,,,,,,,,,,,,,,,
433271 SA Residential Pos Federal Block Grant,,,,,,,,0,0,,,0,,"65,232",,"65,232",,"65,232","65,232",,"65,232"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433561 FBG State Facility Diversion,,,,,,,,"20,616","20,616",,,"20,616",,"20,616",,"20,616",,"20,616","20,616",,"20,616"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24303,,,,,,,"2,368,035",,"2,363,204",,"2,363,204",,"2,432,168","2,465,391",,"2,499,155","2,533,469",,"2,568,343"
,,,,,,,,,,,,,,,,,,,,,
24304 MHSA Adult Day Treatment Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,195,500,,,500,,"1,174",,"1,209",,"1,245","1,283",,"1,321"
,,,,,,,,,,,,,,,,,,,,,
415048 Other Insurance,,,,,,,,0,150,,,150,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415506 Contracts - Other,,,,,,,,"39,975",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415562 Medicaid MH,,,,,,,,"152,247",0,,,0,,"209,041",,"215,312",,"221,772","228,425",,"235,277"
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"379,987","369,561",,,"369,561",,"369,561",,"375,104",,"380,731","386,442",,"392,239"
,,,,,,,,,,,,,,,,,,,,,
422062 State Medicaid - MH,,,,,,,,"6,082",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433070 Substance Abuse - Federal - ADA MHA Block Grant 97,,,,,,,,"37,429","37,429",,,"37,429",,"37,429",,"37,429",,"37,429","37,429",,"37,429"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433269 SA - Drug Federal Block Grant,,,,,,,,"68,049","68,049",,,"68,049",,"68,049",,"68,049",,"68,049","68,049",,"68,049"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24304,,,,,,,"683,964",,"475,689",,"475,689",,"685,254","697,104",,"709,226","721,628",,"734,315"
,,,,,,,,,,,,,,,,,,,,,
24305 SA Prevention,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415002 Data Processing Services,,,,,,,,"7,600",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415048 Other Insurance,,,,,,,,0,10,,,10,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415502 SA - SAIP/SIP/NIC Contracts,,,,,,,,"62,261","79,000",,,"79,000",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415506 Contracts - Other,,,,,,,,"3,663","2,500",,,"2,500",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"309,252","60,000",,,"60,000",,"60,000",,"60,900",,"61,814","62,741",,"63,682"
,,,,,,,,,,,,,,,,,,,,,
